Signal Name,Direction,Pin Number,IO Standard,Drive (mA),Slew Rate
clk,IN,W5,LVCMOS33,,
rst,IN,R2,LVCMOS33,,
start,IN,U18,LVCMOS33,,
switch[0],IN,V17,LVCMOS33,,
switch[1],IN,V16,LVCMOS33,,
switch[2],IN,W16,LVCMOS33,,
switch[3],IN,W17,LVCMOS33,,
switch[4],IN,W15,LVCMOS33,,
switch[5],IN,V15,LVCMOS33,,
switch[6],IN,W14,LVCMOS33,,
switch[7],IN,W13,LVCMOS33,,
an[0],OUT,U2,LVCMOS33,12.0,SLOW
an[1],OUT,U4,LVCMOS33,12.0,SLOW
an[2],OUT,V4,LVCMOS33,12.0,SLOW
an[3],OUT,W4,LVCMOS33,12.0,SLOW
led[0],OUT,U16,LVCMOS33,12.0,SLOW
led[1],OUT,E19,LVCMOS33,12.0,SLOW
led[2],OUT,U19,LVCMOS33,12.0,SLOW
led[3],OUT,V19,LVCMOS33,12.0,SLOW
led[4],OUT,W18,LVCMOS33,12.0,SLOW
led[5],OUT,U15,LVCMOS33,12.0,SLOW
led[6],OUT,U14,LVCMOS33,12.0,SLOW
led[7],OUT,V14,LVCMOS33,12.0,SLOW
seg[0],OUT,W7,LVCMOS33,12.0,SLOW
seg[1],OUT,W6,LVCMOS33,12.0,SLOW
seg[2],OUT,U8,LVCMOS33,12.0,SLOW
seg[3],OUT,V8,LVCMOS33,12.0,SLOW
seg[4],OUT,U5,LVCMOS33,12.0,SLOW
seg[5],OUT,V5,LVCMOS33,12.0,SLOW
seg[6],OUT,U7,LVCMOS33,12.0,SLOW
